pair_id,config,branches,accuracy,macro_f1,brier,ece
synthetic_pair_0,E0,(none -- majority-class baseline),0.475,0.4584139264990329,0.525,0.5249999999999999
synthetic_pair_0,E1,general,0.675,0.6731615336266499,0.24529183062678778,0.16518528993668946
synthetic_pair_0,E2,cue,0.6,0.5907928388746804,0.2287071665281099,0.10830586682266036
synthetic_pair_0,E3,context,0.625,0.6247654784240151,0.25260672826838426,0.15464733397511657
synthetic_pair_0,E4,general+cue,0.7,0.6992481203007519,0.2136784989657711,0.12174609297348503
synthetic_pair_0,E5,general+context,0.725,0.7248280175109443,0.21846153476249644,0.15099454766273576
synthetic_pair_0,E6,cue+context,0.6,0.5907928388746804,0.23824677445913647,0.07119007566244763
synthetic_pair_0,E7,general+cue+context,0.725,0.7234443746071653,0.20755086993475627,0.16001990555068546
synthetic_pair_1,E0,(none -- majority-class baseline),0.525,0.3442622950819672,0.475,0.475
synthetic_pair_1,E1,general,0.625,0.6228786926461345,0.24721181610327764,0.12935340432947776
synthetic_pair_1,E2,cue,0.6,0.595959595959596,0.22277547443434584,0.14655279253225684
synthetic_pair_1,E3,context,0.375,0.37460913070669166,0.2500003895432281,0.1250011103952292
synthetic_pair_1,E4,general+cue,0.775,0.7714285714285715,0.1688005897282175,0.15086454965765528
synthetic_pair_1,E5,general+context,0.525,0.5247029393370857,0.24856533980529885,0.09653588345435425
synthetic_pair_1,E6,cue+context,0.575,0.5725958516656191,0.22258082131825235,0.10151629459297667
synthetic_pair_1,E7,general+cue+context,0.65,0.6491228070175439,0.2098747370767758,0.10191825655380905
synthetic_pair_2,E0,(none -- majority-class baseline),0.475,0.4584139264990329,0.525,0.5249999999999999
synthetic_pair_2,E1,general,0.55,0.5488721804511278,0.24990077111832337,0.21559341306089153
synthetic_pair_2,E2,cue,0.7,0.6992481203007519,0.2063611815921552,0.1968407585430131
synthetic_pair_2,E3,context,0.55,0.5396419437340154,0.25082030045920645,0.03639577199504925
synthetic_pair_2,E4,general+cue,0.625,0.6190476190476191,0.19422075218082108,0.13779934091833132
synthetic_pair_2,E5,general+context,0.625,0.6190476190476191,0.2306412134499387,0.08930790472609149
synthetic_pair_2,E6,cue+context,0.675,0.6747967479674797,0.2006499518906552,0.12884491842927678
synthetic_pair_2,E7,general+cue+context,0.8,0.7994987468671679,0.1436360316927745,0.17904460458559782
synthetic_pair_3,E0,(none -- majority-class baseline),0.525,0.3442622950819672,0.475,0.475
synthetic_pair_3,E1,general,0.725,0.7248280175109443,0.2052507643094445,0.14163178397870174
synthetic_pair_3,E2,cue,0.775,0.7748592870544091,0.16515671334198184,0.14058198323516613
synthetic_pair_3,E3,context,0.475,0.4584139264990329,0.2500000852613339,0.02500052769568736
synthetic_pair_3,E4,general+cue,0.775,0.7737272155876807,0.13837035947127552,0.1492816927093244
synthetic_pair_3,E5,general+context,0.725,0.7248280175109443,0.2039956165261129,0.1515469296644783
synthetic_pair_3,E6,cue+context,0.775,0.7748592870544091,0.1607004436879544,0.10294835150940816
synthetic_pair_3,E7,general+cue+context,0.775,0.7737272155876807,0.14090407445742179,0.1575789677711233
synthetic_pair_4,E0,(none -- majority-class baseline),0.525,0.3442622950819672,0.475,0.475
synthetic_pair_4,E1,general,0.5,0.4301994301994302,0.24996852192614813,0.025031510559011858
synthetic_pair_4,E2,cue,0.725,0.7163120567375887,0.2194085946632173,0.21110072416955875
synthetic_pair_4,E3,context,0.75,0.75,0.16402910332536727,0.09935410512236718
synthetic_pair_4,E4,general+cue,0.7,0.696969696969697,0.23362124220985736,0.21608637044420712
synthetic_pair_4,E5,general+context,0.675,0.6731615336266499,0.2098267048400737,0.1246840342491061
synthetic_pair_4,E6,cue+context,0.8,0.7994987468671679,0.14588681855453883,0.11769045047181502
synthetic_pair_4,E7,general+cue+context,0.8,0.7994987468671679,0.15992628785072344,0.15008030012895204
synthetic_pair_5,E0,(none -- majority-class baseline),0.55,0.3548387096774194,0.45,0.45
synthetic_pair_5,E1,general,0.525,0.5247029393370857,0.25808048058128685,0.16015194050127857
synthetic_pair_5,E2,cue,0.5,0.4987468671679198,0.2460783435937779,0.0699054573799607
synthetic_pair_5,E3,context,0.625,0.6131528046421664,0.25116669791004986,0.1498815709755005
synthetic_pair_5,E4,general+cue,0.725,0.7163120567375887,0.1987855911706624,0.10085216476874637
synthetic_pair_5,E5,general+context,0.6,0.5989974937343359,0.2561053813663567,0.14766180906455328
synthetic_pair_5,E6,cue+context,0.55,0.5454545454545454,0.25315380606800475,0.06861299896676715
synthetic_pair_5,E7,general+cue+context,0.675,0.6698412698412699,0.21152471880353532,0.1060198910806481
synthetic_pair_6,E0,(none -- majority-class baseline),0.575,0.36507936507936506,0.425,0.425
synthetic_pair_6,E1,general,0.7,0.6875,0.2155814049924077,0.18648914690755158
synthetic_pair_6,E2,cue,0.7,0.6992481203007519,0.25213933888918244,0.18812564107522353
synthetic_pair_6,E3,context,0.85,0.8465473145780051,0.13216778748316874,0.15025612946718805
synthetic_pair_6,E4,general+cue,0.625,0.6190476190476191,0.23638401916195076,0.11869718782800963
synthetic_pair_6,E5,general+context,0.875,0.871050934880722,0.10058492415765538,0.1276728610306226
synthetic_pair_6,E6,cue+context,0.85,0.8465473145780051,0.14360482914826014,0.15943259921062633
synthetic_pair_6,E7,general+cue+context,0.8,0.7953964194373402,0.14522229536548462,0.15632333199334017
synthetic_pair_7,E0,(none -- majority-class baseline),0.55,0.3548387096774194,0.45,0.45
synthetic_pair_7,E1,general,0.475,0.474671669793621,0.25513250986820124,0.07680806915470996
synthetic_pair_7,E2,cue,0.875,0.8749218261413383,0.1141719765571704,0.1272037090797105
synthetic_pair_7,E3,context,0.475,0.4584139264990329,0.25104330640757216,0.05574029345631046
synthetic_pair_7,E4,general+cue,0.875,0.8749218261413383,0.1248787325159264,0.17603392698392784
synthetic_pair_7,E5,general+context,0.55,0.55,0.24625789510910448,0.05039021733784032
synthetic_pair_7,E6,cue+context,0.85,0.849624060150376,0.12309013370976549,0.13585105318610935
synthetic_pair_7,E7,general+cue+context,0.85,0.8484848484848485,0.13840004242724382,0.16671654575804606
