word_a	word_b	dist	ipa_a	ipa_b	freq_a	freq_b
र	रौँ	0.0417	ɾə	ɾɔ̃	6050	14
रु	रू	0.0208	ɾu	ɾuː	34	3
रे	री	0.0208	ɾeː	ɾiː	26	2
छ	६	0.0000	cʰə	cʰə	5995	191
छ	छौँ	0.0417	cʰə	cʰɔ̃	5995	92
छ	छ?	0.0000	cʰə	cʰə	5995	2
छ	छौ	0.0417	cʰə	cʰɔː	5995	2
छ	छि	0.0417	cʰə	cʰɪ	5995	1
६	छ?	0.0000	cʰə	cʰə	191	2
६	छि	0.0417	cʰə	cʰɪ	191	1
छौँ	छ?	0.0417	cʰɔ̃	cʰə	92	2
छौँ	छौ	0.0417	cʰɔ̃	cʰɔː	92	2
छे	छो	0.0417	cʰeː	cʰoː	4	2
छ?	छौ	0.0417	cʰə	cʰɔː	2	2
छ?	छि	0.0417	cʰə	cʰɪ	2	1
छो	छौ	0.0208	cʰoː	cʰɔː	2	2
पनि	पानी	0.0312	pʌnɪ	paːni	4944	204
पनि	पति	0.0312	pʌnɪ	pʌtɪ	4944	9
पनि	परि	0.0365	pʌnɪ	pʌɾɪ	4944	6
पछि	पटि	0.0365	pʌcʰɪ	pʌʈɪ	509	5
पछि	पुछ	0.0521	pʌcʰɪ	pucʰə	509	4
पछि	पटी	0.0469	pʌcʰɪ	pʌʈi	509	2
पछि	पढि	0.0365	pʌcʰɪ	pʌɖʰɪ	509	1
पूजा	पुगे	0.0417	puːɟaː	puɡeː	211	65
पूजा	पोका	0.0417	puːɟaː	poːkaː	211	2
पूजा	पुजा	0.0104	puːɟaː	puɟaː	211	1
पानी	पारी	0.0365	paːni	paːɾi	204	30
पानी	पाली	0.0312	paːni	paːli	204	1
पानी	पोमी	0.0469	paːni	poːmi	204	1
पिता	पिठो	0.0417	pɪtaː	pɪʈʰoː	100	8
पिता	पता	0.0312	pɪtaː	pʌtaː	100	2
पिता	पिटे	0.0312	pɪtaː	pɪʈeː	100	1
पिता	पिडा	0.0208	pɪtaː	pɪɖaː	100	1
पुरा	पूरा	0.0104	puɾaː	puːɾaː	90	64
पुरा	पुरै	0.0312	puɾaː	puɾɛː	90	30
पुरा	पूरै	0.0417	puɾaː	puːɾɛː	90	15
पुरा	पुना	0.0365	puɾaː	punaː	90	1
पाउन	पाइन	0.0208	paːʊn	paːɪn	70	8
पाउन	पिउन	0.0521	paːʊn	pɪʊn	70	7
पाउन	पाइड	0.0521	paːʊn	paːɪɖ	70	2
पाउन	पाउल	0.0312	paːʊn	paːʊl	70	1
पुगे	पुगी	0.0208	puɡeː	puɡi	65	11
पुगे	पुँजी	0.0312	puɡeː	pũɟiː	65	7
पुगे	पिके	0.0521	puɡeː	pɪkeː	65	2
पुगे	पुँगी	0.0208	puɡeː	pũɡiː	65	2
पुगे	पुजा	0.0312	puɡeː	puɟaː	65	1
पूरा	पूरै	0.0312	puːɾaː	puːɾɛː	64	15
पूरा	पारा	0.0417	puːɾaː	paːɾaː	64	2
पैसा	पैदा	0.0312	pɛːsaː	pɛːdaː	47	21
पैसा	पेशा	0.0312	pɛːsaː	peːʃaː	47	5
पैसा	पेसा	0.0104	pɛːsaː	peːsaː	47	5
पार	पर	0.0104	paːɾə	paɾə	44	27
पार	पारा	0.0312	paːɾə	paːɾaː	44	2
पार	पारौँ	0.0208	paːɾə	paːɾɔ̃	44	2
पार	पारि	0.0208	paːɾə	paːɾɪ	44	1
परे	परी	0.0208	pʌɾeː	pʌɾi	40	17
परे	पारे	0.0208	pʌɾeː	paːɾeː	40	16
परे	पिरे	0.0312	pʌɾeː	pɪɾeː	40	3
परे	परेँ	0.0208	pʌɾeː	pʌɾẽ	40	2
प्रेस	प्रेत	0.0208	pɾeːs	pɾeːt	39	5
प्रेस	प्रात	0.0417	pɾeːs	pɾaːt	39	3
प्रेस	प्लस	0.0469	pɾeːs	plʌs	39	3
प्रेस	प्लेस	0.0260	pɾeːs	pleːs	39	3
पारी	परी	0.0208	paːɾi	pʌɾi	30	17
पारी	पारे	0.0208	paːɾi	paːɾeː	30	16
पारी	पारि	0.0104	paːɾi	paːɾɪ	30	1
पारी	पाली	0.0260	paːɾi	paːli	30	1
पारी	पेरु	0.0521	paːɾi	peːɾu	30	1
पारी	पौरी	0.0312	paːɾi	pɔːɾi	30	1
पुरै	पूरै	0.0104	puɾɛː	puːɾɛː	30	15
पुरै	पुरी	0.0312	puɾɛː	puɾi	30	5
पर	परि	0.0312	paɾə	pʌɾɪ	27	6
पर	पिर	0.0417	paɾə	pɪɾə	27	5
पर	परौँ	0.0312	paɾə	pʌɾɔ̃	27	2
पर	पारौँ	0.0312	paɾə	paːɾɔ̃	27	2
पीडा	पैदा	0.0208	pɪːɖaː	pɛːdaː	25	21
पीडा	पीला	0.0417	pɪːɖaː	pɪːlaː	25	2
पीडा	पिडा	0.0104	pɪːɖaː	pɪɖaː	25	1
पीडा	पेडा	0.0208	pɪːɖaː	peːɖaː	25	1
पेले	पालो	0.0417	peːleː	paːloː	24	9
पेले	पोलो	0.0417	peːleː	poːloː	24	4
पेले	पीला	0.0417	peːleː	pɪːlaː	24	2
पेले	पाली	0.0417	peːleː	paːli	24	1
पेले	पालै	0.0312	peːleː	paːlɛː	24	1
पाटी	पापी	0.0365	paːʈi	paːpi	21	7
पाटी	पाटे	0.0208	paːʈi	paːʈeː	21	6
पाटी	पाठी	0.0104	paːʈi	paːʈʰi	21	3
पाटी	पटी	0.0208	paːʈi	pʌʈi	21	2
पाटी	पेटी	0.0208	paːʈi	peːʈi	21	1
पेय	पायो	0.0521	peːjə	paːjoː	21	18
पेय	पाव	0.0521	peːjə	paːwə	21	3
पेय	पय	0.0208	peːjə	pʌjə	21	1
पेय	पायौँ	0.0417	peːjə	paːjɔ̃	21	1
पैदा	पौभा	0.0573	pɛːdaː	pɔːbʰaː	21	2
पैदा	पिडा	0.0312	pɛːdaː	pɪɖaː	21	1
पैदा	पेडा	0.0208	pɛːdaː	peːɖaː	21	1
पुमा	पुजा	0.0521	pumaː	puɟaː	19	1
पुमा	पुना	0.0260	pumaː	punaː	19	1
पुमा	पूमा	0.0104	pumaː	puːmaː	19	1
पायो	पाइए	0.0417	paːjoː	paːɪeː	18	3
पायो	पोया	0.0417	paːjoː	poːjaː	18	2
पायो	पय	0.0521	paːjoː	pʌjə	18	1
पायो	पायौँ	0.0312	paːjoː	paːjɔ̃	18	1
पौडी	पटी	0.0417	pɔːɖi	pʌʈi	18	2
पौडी	पोडे	0.0312	pɔːɖi	poːɖeː	18	1
पौडी	पौँदी	0.0417	pɔːɖi	pɔ̃diː	18	1
पौडी	पौदी	0.0104	pɔːɖi	pɔːdi	18	1
परी	परि	0.0104	pʌɾi	pʌɾɪ	17	6
परी	पुरी	0.0312	pʌɾi	puɾi	17	5
परी	परेँ	0.0208	pʌɾi	pʌɾẽ	17	2
परी	पेरु	0.0521	pʌɾi	peːɾu	17	1
परी	पौरी	0.0312	pʌɾi	pɔːɾi	17	1
पारे	पारा	0.0208	paːɾeː	paːɾaː	16	2
पारे	पारो	0.0208	paːɾeː	paːɾoː	16	2
पढे	पढेँ	0.0208	pʌɖʰeː	pʌɖʰẽ	15	7
पढे	पाँडे	0.0312	pʌɖʰeː	pãɖeː	15	3
पढे	पढि	0.0312	pʌɖʰeː	pʌɖʰɪ	15	1
पढे	पढी	0.0208	pʌɖʰeː	pʌɖʰi	15	1
पढे	पेठे	0.0312	pʌɖʰeː	peːʈʰeː	15	1
पढे	पोडे	0.0312	pʌɖʰeː	poːɖeː	15	1
पोथी	पोते	0.0312	poːtʰi	poːteː	15	13
पोथी	पाठी	0.0312	poːtʰi	paːʈʰi	15	3
पोथी	पौदी	0.0312	poːtʰi	pɔːdi	15	1
पाखा	पाछा	0.0104	paːkʰaː	paːcʰaː	14	5
पाखा	पाके	0.0312	paːkʰaː	paːkeː	14	2
पाखा	पाखो	0.0208	paːkʰaː	paːkʰoː	14	2
पाखा	पोका	0.0312	paːkʰaː	poːkaː	14	2
पाखा	पाका	0.0104	paːkʰaː	paːkaː	14	1
पौवा	पुवा	0.0417	pɔːwaː	puwaː	14	7
पौवा	पोया	0.0417	pɔːwaː	poːjaː	14	2
