word	ipa	status
र	ɾə	ok
छ	cʰə	ok
पनि	pʌnɪ	ok
हो	hoː	ok
यो	joː	ok
एक	eːkə	ok
थियो	tʰɪjoː	ok
यस	jʌs	ok
लागि	laːɡɪ	ok
हुन्छ	huncʰə	ok
भएको	bʰəeːkoː	ok
छन्	cʰʌn	ok
तथा	tʌtʰaː	ok
रूपमा	ɾuːpəmaː	ok
आफ्नो	aːpʰːnoː	ok
थिए	tʰɪʲeː	ok
एउटा	eːʊʈaː	ok
नै	nɛː	ok
गर्न	ɡʌrrnə	ok
धेरै	dʰeːɾɛː	ok
गर्ने	ɡʌrrneː	ok
मा	maː	ok
रहेको	ɾəheːkoː	ok
भने	bʰʌneː	ok
यसको	jʌsəkoː	ok
नेपालको	neːpaːləkoː	ok
कुनै	kunɛː	ok
उनले	ʊnəleː	ok
नेपाली	neːpaːli	ok
गरे	ɡʌɾeː	ok
केही	keːhi	ok
हुन्	hun	ok
हुने	huneː	ok
वा	waː	ok
तर	taɾə	ok
भयो	bʰʌjoː	ok
सन्	sʌn	ok
उनको	ʊnəkoː	ok
गरेको	ɡəɾeːkoː	ok
जिल्लामा	ɟɪlllaːmaː	ok
उनी	ʊni	ok
जिल्लाको	ɟɪlllaːkoː	ok
नाम	naːmə	ok
सबै	sʌbɛː	ok
कारण	kaːɾəɳ	ok
अन्य	ʌnjə	ok
भन्ने	bʰʌnneː	ok
विकास	wɪkaːs	ok
त्यो	tːjoː	ok
दिन	dɪn	ok
नेपाल	neːpaːl	ok
मात्र	maːtɾə	ok
कि	kɪ	ok
प्रयोग	pɾəjoːɡ	ok
भनिन्छ	bʰənɪncʰə	ok
विभिन्न	wɪbʰɪnnə	ok
गरी	ɡʌɾi	ok
यहाँ	jʌhã	ok
दुई	dui	ok
गरिएको	ɡəɾɪʲeːkoː	ok
काम	kaːmə	ok
जुन	ɟun	ok
यसलाई	jəsəlaːi	ok
गरेका	ɡəɾeːkaː	ok
नयाँ	nʌjã	ok
अनुसार	ənusaːɾə	ok
जिल्ला	ɟɪlllaː	ok
गरिन्छ	ɡəɾɪncʰə	ok
मेरो	meːɾoː	ok
भए	bʰʌeː	ok
त	tə	ok
मुख्य	mukʰjə	ok
वर्ष	wʌrrʂə	ok
पहिलो	pʌhɪloː	ok
मैले	mɛːleː	ok
प्रमुख	pɾʌmukʰ	ok
यी	jiː	ok
को	koː	ok
भएका	bʰəeːkaː	ok
हुन	hunə	ok
नेपालमा	neːpaːləmaː	ok
प्राप्त	pɾaːptə	ok
छैन	cʰɛːnə	ok
अवस्थित	əwʌstʰɪt	ok
पछि	pʌcʰɪ	ok
गरेर	ɡəɾeːɾə	ok
गर्दा	ɡʌrrdaː	ok
मलाई	məlaːi	ok
कुरा	kuɾaː	ok
क्षेत्र	kʂeːtɾə	ok
क्षेत्रमा	kʂeːtɾəmaː	ok
म	mə	ok
उनलाई	ʊnəlaːi	ok
आदि	aːdɪ	ok
सबैभन्दा	səbɛːbʰʌndaː	ok
कार्य	kaːrrjə	ok
पर्ने	pʌrrneː	ok
हुन्छन्	huncʰən	ok
भारतीय	bʰaːɾətɪːjə	ok
गर्दै	ɡʌrrdɛː	ok
पाइन्छ	paːɪncʰə	ok
समय	sʌməjə	ok
राम्रो	ɾaːmɾoː	ok
बढी	bʌɖʰi	ok
गाउँ	ɡaːũ	ok
राज्य	ɾaːɟjə	ok
जन्म	ɟʌnmə	ok
राष्ट्रिय	ɾaːʃʈɾɪːjə	ok
देखि	deːkʰɪ	ok
के	keː	ok
निर्माण	nɪrrmaːɳ	ok
सकिन्छ	səkɪncʰə	ok
यस्तो	jʌstoː	ok
त्यस	tːjʌs	ok
१	eːk	ok
गर्नु	ɡʌrrnuʲu	ok
भन्दा	bʰʌndaː	ok
साथै	saːtʰɛː	ok
ठाउँमा	ʈʰaːũmaː	ok
जनसङ्ख्या	ɟənəsʌŋkʰjaː	ok
अर्को	ʌrrkoː	ok
राजा	ɾaːɟaː	ok
जस्तै	ɟʌstɛː	ok
मन्दिर	mʌndɪɾə	ok
गर्दछ	ɡʌrrdəcʰə	ok
उनका	ʊnəkaː	ok
विशेष	wɪʃeːʂ	ok
यसमा	jʌsəmaː	ok
समयमा	sʌməjəmaː	ok
बारेमा	baːɾeːmaː	ok
समेत	səmeːt	ok
लामो	laːmoː	ok
ईपू	ɪːpuː	ok
भाग	bʰaːɡ	ok
भारतको	bʰaːɾətəkoː	ok
२	duːiː	ok
रहेका	ɾəheːkaː	ok
मानिन्छ	maːnɪncʰə	ok
त्यसपछि	tːjʌsəpəcʰɪ	ok
साथ	saːtʰ	ok
सालमा	saːləmaː	ok
ती	tiː	ok
सानो	saːnoː	ok
उक्त	ʊktə	ok
जसको	ɟʌsəkoː	ok
भाषा	bʰaːʂaː	ok
दक्षिण	dʌkʂɪɳ	ok
अञ्चलको	ʌɲcələkoː	ok
तपाईँको	təpaːĩkoː	ok
स्थापना	stʰaːpənaː	ok
प्रकाशित	pɾəkaːʃɪt	ok
यसका	jʌsəkaː	ok
सक्छ	sʌkcʰə	ok
सुरु	suɾu	ok
प्रसिद्ध	pɾəsɪdːdʰə	ok
गर्छ	ɡʌrrcʰə	ok
जो	ɟoː	ok
हजार	həɟaːɾə	ok
सम्म	sʌmmə	ok
