word	rank	similar_word	dist	ipa	freq	n_utts
अ	1	अफ	0.4583	ʌpʰ	144	144
अ	2	अझ	0.4583	ʌɟʰ	87	87
अ	3	अप	0.4583	ʌp	5	5
अ	4	अण	0.4583	ʌɳ	2	2
अ	5	अत	0.4688	ʌt	39	39
अकुशल	1	अगहन	0.0868	ʌɡəhən	1	1
अकुशल	2	अडिसन	0.0938	ʌɖɪsən	1	1
अकुशल	3	अनशन	0.1007	ʌnəʃən	1	1
अकुशल	4	अफजल	0.1007	ʌpʰəɟəl	1	1
अकुशल	5	अपतन	0.1042	ʌpətən	6	6
अक्स	1	अग्लो	0.0833	ʌɡloː	103	102
अक्स	2	अग्ला	0.0833	ʌɡlaː	26	26
अक्स	3	अग्नि	0.0833	ʌɡnɪ	20	20
अक्स	4	अष्ट	0.0885	ʌʂʈə	3	3
अक्स	5	अट्न	0.0885	ʌʈnə	2	2
अगाडिबाटै	1	अगाडिदेखि	0.0509	əɡaːɖɪdeːkʰɪ	4	4
अगाडिबाटै	2	अगाडिबाट	0.1019	əɡaːɖɪbaːʈ	2	2
अगाडिबाटै	3	अदालतले	0.1065	ədaːlətəleː	9	9
अगाडिबाटै	4	अमेरिकाले	0.1088	əmeːɾɪkaːleː	13	13
अगाडिबाटै	5	अदालतको	0.1088	ədaːlətəkoː	6	6
अग्लो	1	अग्ला	0.0208	ʌɡlaː	26	26
अग्लो	2	औलो	0.0625	ʌʊloː	6	6
अग्लो	3	अग्नि	0.0833	ʌɡnɪ	20	20
अग्लो	4	अक्स	0.0833	ʌksə	3	3
अग्लो	5	औले	0.0833	ʌʊleː	1	1
अङ्गलाई	1	अङ्गराज	0.0446	əŋɡəɾaːɟ	1	1
अङ्गलाई	2	अन्तलाई	0.0595	əntəlaːi	2	2
अङ्गलाई	3	अंशलाई	0.0655	ənʃəlaːi	4	4
अङ्गलाई	4	अन्नलाई	0.0655	ənnəlaːi	3	3
अङ्गलाई	5	अग्नीलाई	0.0685	əɡnɪːlaːi	1	1
अचारमा	1	अकालमा	0.0208	əkaːləmaː	3	3
अचारमा	2	अठारमा	0.0208	əʈʰaːɾəmaː	1	1
अचारमा	3	असारमा	0.0327	əsaːɾəmaː	8	8
अचारमा	4	अछाममा	0.0417	əcʰaːməmaː	3	3
अचारमा	5	अचारको	0.0536	əcaːɾəkoː	3	3
अज्ञानस्वरूप	1	अज्ञानतालाई	0.089	əɟɲaːnətaːlaːi	3	3
अज्ञानस्वरूप	2	अङ्गहरूलाई	0.142	əŋɡəhəɾuːlaːi	1	1
अज्ञानस्वरूप	3	अन्धानुकरण	0.1458	əndʰaːnukəɾəɳ	1	1
अज्ञानस्वरूप	4	अध्ययनबाट	0.1534	ədʰjəjənəbaːʈ	3	3
अज्ञानस्वरूप	5	अज्ञानताको	0.1553	əɟɲaːnətaːkoː	2	2
अडिग	1	अजिज	0.0365	ʌɟɪɟ	3	3
