word	freq	n_utts	n_speakers
र	6050	6027	525
छ	5995	5979	524
पनि	4944	4941	526
हो	4672	4664	523
यो	4176	4172	524
एक	3330	3313	521
थियो	2415	2411	514
यस	2414	2410	512
लागि	2345	2345	504
हुन्छ	2254	2248	506
भएको	2212	2209	508
छन्	2176	2172	505
तथा	2036	2036	503
रूपमा	1689	1686	492
आफ्नो	1670	1663	492
थिए	1621	1619	495
एउटा	1589	1583	480
नै	1509	1509	492
गर्न	1473	1472	490
धेरै	1444	1436	491
गर्ने	1413	1412	483
मा	1395	1394	464
रहेको	1260	1256	465
भने	1259	1259	462
यसको	1249	1245	460
नेपालको	1218	1218	468
कुनै	1207	1196	452
उनले	1178	1178	454
नेपाली	1177	1171	466
गरे	1139	1137	455
केही	1076	1061	453
हुन्	1026	1025	447
हुने	987	987	428
वा	983	982	433
तर	951	951	445
भयो	935	934	427
सन्	923	923	403
उनको	917	916	416
गरेको	890	890	416
जिल्लामा	841	841	401
उनी	836	832	420
जिल्लाको	799	796	401
नाम	783	782	404
सबै	782	779	405
कारण	765	765	393
अन्य	763	763	388
भन्ने	727	727	381
विकास	721	694	362
त्यो	720	714	362
दिन	719	715	391
नेपाल	716	714	394
मात्र	713	712	379
कि	712	712	399
प्रयोग	699	699	372
भनिन्छ	695	695	367
विभिन्न	692	691	388
गरी	689	688	371
यहाँ	670	670	367
दुई	667	667	372
गरिएको	655	655	375
काम	647	647	360
जुन	637	637	350
यसलाई	629	629	355
गरेका	627	627	372
नयाँ	625	617	356
अनुसार	624	624	333
जिल्ला	612	593	351
गरिन्छ	609	609	372
मेरो	605	601	354
भए	580	580	341
त	577	576	339
मुख्य	574	572	349
वर्ष	563	558	327
पहिलो	559	558	333
मैले	555	555	343
प्रमुख	539	539	318
यी	539	539	328
को	538	537	303
भएका	536	536	328
हुन	534	533	336
नेपालमा	530	530	319
प्राप्त	528	528	321
छैन	526	526	329
अवस्थित	511	511	311
पछि	509	508	324
गरेर	508	505	319
गर्दा	504	499	323
मलाई	504	504	317
कुरा	502	502	322
क्षेत्र	500	498	312
क्षेत्रमा	499	499	315
म	490	490	316
उनलाई	475	475	308
आदि	473	473	310
सबैभन्दा	468	468	299
कार्य	460	460	303
पर्ने	460	460	299
हुन्छन्	460	456	297
भारतीय	455	455	289
गर्दै	428	428	293
पाइन्छ	423	423	291
समय	422	422	295
राम्रो	417	417	279
बढी	409	409	283
गाउँ	405	401	268
राज्य	405	402	275
जन्म	400	400	262
राष्ट्रिय	397	397	276
देखि	394	394	275
के	391	382	267
निर्माण	389	389	269
सकिन्छ	386	386	273
यस्तो	385	385	270
त्यस	380	380	258
१	380	372	264
गर्नु	379	379	254
भन्दा	379	378	272
साथै	376	376	268
ठाउँमा	375	375	259
जनसङ्ख्या	371	371	261
अर्को	370	370	263
राजा	368	368	258
जस्तै	365	365	249
मन्दिर	362	354	264
