word	source	ipa	segments	n_segments	freq	n_utts	n_speakers
र	slr54	ɾə	ɾ ə	2	6050	6027	525
छ	slr54	cʰə	cʰ ə	2	5995	5979	524
पनि	slr54	pʌnɪ	p ʌ n ɪ	4	4944	4941	526
हो	slr54	hoː	h oː	2	4672	4664	523
यो	slr54	joː	j oː	2	4176	4172	524
एक	slr54	eːkə	eː k ə	3	3330	3313	521
थियो	slr54	tʰɪjoː	tʰ ɪ j oː	4	2415	2411	514
यस	slr54	jʌs	j ʌ s	3	2414	2410	512
लागि	slr54	laːɡɪ	l aː ɡ ɪ	4	2345	2345	504
हुन्छ	slr54	huncʰə	h u n cʰ ə	5	2254	2248	506
भएको	slr54	bʰəeːkoː	bʰ ə eː k oː	5	2212	2209	508
छन्	slr54	cʰʌn	cʰ ʌ n	3	2176	2172	505
तथा	slr54	tʌtʰaː	t ʌ tʰ aː	4	2036	2036	503
रूपमा	slr54	ɾuːpəmaː	ɾ uː p ə m aː	6	1689	1686	492
आफ्नो	slr54	aːpʰːnoː	aː pʰː n oː	4	1670	1663	492
थिए	slr54	tʰɪʲeː	tʰ ɪ eː	3	1621	1619	495
एउटा	slr54	eːʊʈaː	eː ʊ ʈ aː	4	1589	1583	480
नै	slr54	nɛː	n ɛː	2	1509	1509	492
गर्न	slr54	ɡʌrrnə	ɡ ʌ r r n ə	6	1473	1472	490
धेरै	slr54	dʰeːɾɛː	dʰ eː ɾ ɛː	4	1444	1436	491
गर्ने	slr54	ɡʌrrneː	ɡ ʌ r r n eː	6	1413	1412	483
मा	slr54	maː	m aː	2	1395	1394	464
रहेको	slr54	ɾəheːkoː	ɾ ə h eː k oː	6	1260	1256	465
भने	slr54	bʰʌneː	bʰ ʌ n eː	4	1259	1259	462
यसको	slr54	jʌsəkoː	j ʌ s ə k oː	6	1249	1245	460
नेपालको	slr54	neːpaːləkoː	n eː p aː l ə k oː	8	1218	1218	468
कुनै	slr54	kunɛː	k u n ɛː	4	1207	1196	452
उनले	slr54	ʊnəleː	ʊ n ə l eː	5	1178	1178	454
नेपाली	slr54	neːpaːli	n eː p aː l i	6	1177	1171	466
गरे	slr54	ɡʌɾeː	ɡ ʌ ɾ eː	4	1139	1137	455
केही	slr54	keːhi	k eː h i	4	1076	1061	453
हुन्	slr54	hun	h u n	3	1026	1025	447
हुने	slr54	huneː	h u n eː	4	987	987	428
वा	slr54	waː	w aː	2	983	982	433
तर	slr54	taɾə	t a ɾ ə	4	951	951	445
भयो	slr54	bʰʌjoː	bʰ ʌ j oː	4	935	934	427
सन्	slr54	sʌn	s ʌ n	3	923	923	403
उनको	slr54	ʊnəkoː	ʊ n ə k oː	5	917	916	416
गरेको	slr54	ɡəɾeːkoː	ɡ ə ɾ eː k oː	6	890	890	416
जिल्लामा	slr54	ɟɪlllaːmaː	ɟ ɪ l l l aː m aː	8	841	841	401
उनी	slr54	ʊni	ʊ n i	3	836	832	420
जिल्लाको	slr54	ɟɪlllaːkoː	ɟ ɪ l l l aː k oː	8	799	796	401
नाम	slr54	naːmə	n aː m ə	4	783	782	404
सबै	slr54	sʌbɛː	s ʌ b ɛː	4	782	779	405
कारण	slr54	kaːɾəɳ	k aː ɾ ə ɳ	5	765	765	393
अन्य	slr54	ʌnjə	ʌ n j ə	4	763	763	388
भन्ने	slr54	bʰʌnneː	bʰ ʌ n n eː	5	727	727	381
विकास	slr54	wɪkaːs	w ɪ k aː s	5	721	694	362
त्यो	slr54	tːjoː	tː j oː	3	720	714	362
दिन	slr54	dɪn	d ɪ n	3	719	715	391
नेपाल	slr54	neːpaːl	n eː p aː l	5	716	714	394
मात्र	slr54	maːtɾə	m aː t ɾ ə	5	713	712	379
कि	slr54	kɪ	k ɪ	2	712	712	399
प्रयोग	slr54	pɾəjoːɡ	p ɾ ə j oː ɡ	6	699	699	372
भनिन्छ	slr54	bʰənɪncʰə	bʰ ə n ɪ n cʰ ə	7	695	695	367
विभिन्न	slr54	wɪbʰɪnnə	w ɪ bʰ ɪ n n ə	7	692	691	388
गरी	slr54	ɡʌɾi	ɡ ʌ ɾ i	4	689	688	371
यहाँ	slr54	jʌhã	j ʌ h ã	4	670	670	367
दुई	slr54	dui	d u i	3	667	667	372
गरिएको	slr54	ɡəɾɪʲeːkoː	ɡ ə ɾ ɪ eː k oː	7	655	655	375
काम	slr54	kaːmə	k aː m ə	4	647	647	360
जुन	slr54	ɟun	ɟ u n	3	637	637	350
यसलाई	slr54	jəsəlaːi	j ə s ə l aː i	7	629	629	355
गरेका	slr54	ɡəɾeːkaː	ɡ ə ɾ eː k aː	6	627	627	372
नयाँ	slr54	nʌjã	n ʌ j ã	4	625	617	356
अनुसार	slr54	ənusaːɾə	ə n u s aː ɾ ə	7	624	624	333
जिल्ला	slr54	ɟɪlllaː	ɟ ɪ l l l aː	6	612	593	351
गरिन्छ	slr54	ɡəɾɪncʰə	ɡ ə ɾ ɪ n cʰ ə	7	609	609	372
मेरो	slr54	meːɾoː	m eː ɾ oː	4	605	601	354
भए	slr54	bʰʌeː	bʰ ʌ eː	3	580	580	341
त	slr54	tə	t ə	2	577	576	339
मुख्य	slr54	mukʰjə	m u kʰ j ə	5	574	572	349
वर्ष	slr54	wʌrrʂə	w ʌ r r ʂ ə	6	563	558	327
पहिलो	slr54	pʌhɪloː	p ʌ h ɪ l oː	6	559	558	333
मैले	slr54	mɛːleː	m ɛː l eː	4	555	555	343
प्रमुख	slr54	pɾʌmukʰ	p ɾ ʌ m u kʰ	6	539	539	318
