char	count	pct	unicode_name
ा	265089	10.288	DEVANAGARI VOWEL SIGN AA
्	214188	8.313	DEVANAGARI SIGN VIRAMA
र	181039	7.026	DEVANAGARI LETTER RA
न	150177	5.828	DEVANAGARI LETTER NA
क	142925	5.547	DEVANAGARI LETTER KA
ि	124571	4.835	DEVANAGARI VOWEL SIGN I
म	98243	3.813	DEVANAGARI LETTER MA
ो	96714	3.753	DEVANAGARI VOWEL SIGN O
स	90120	3.498	DEVANAGARI LETTER SA
ल	88654	3.441	DEVANAGARI LETTER LA
े	85126	3.304	DEVANAGARI VOWEL SIGN E
त	81742	3.172	DEVANAGARI LETTER TA
प	74203	2.88	DEVANAGARI LETTER PA
य	70109	2.721	DEVANAGARI LETTER YA
ह	56953	2.21	DEVANAGARI LETTER HA
ु	53046	2.059	DEVANAGARI VOWEL SIGN U
व	48617	1.887	DEVANAGARI LETTER VA
ग	48005	1.863	DEVANAGARI LETTER GA
द	45033	1.748	DEVANAGARI LETTER DA
ी	44847	1.741	DEVANAGARI VOWEL SIGN II
ज	34584	1.342	DEVANAGARI LETTER JA
ब	31250	1.213	DEVANAGARI LETTER BA
छ	28973	1.124	DEVANAGARI LETTER CHA
भ	28489	1.106	DEVANAGARI LETTER BHA
ट	24562	0.953	DEVANAGARI LETTER TTA
ए	23468	0.911	DEVANAGARI LETTER E
ू	22290	0.865	DEVANAGARI VOWEL SIGN UU
उ	21216	0.823	DEVANAGARI LETTER U
थ	20731	0.805	DEVANAGARI LETTER THA
अ	19868	0.771	DEVANAGARI LETTER A
ै	19822	0.769	DEVANAGARI VOWEL SIGN AI
श	18800	0.73	DEVANAGARI LETTER SHA
च	18223	0.707	DEVANAGARI LETTER CA
ध	17343	0.673	DEVANAGARI LETTER DHA
ख	16950	0.658	DEVANAGARI LETTER KHA
ष	16297	0.632	DEVANAGARI LETTER SSA
ँ	15911	0.618	DEVANAGARI SIGN CANDRABINDU
ई	13794	0.535	DEVANAGARI LETTER II
आ	12364	0.48	DEVANAGARI LETTER AA
ण	12041	0.467	DEVANAGARI LETTER NNA
ड	11869	0.461	DEVANAGARI LETTER DDA
फ	9055	0.351	DEVANAGARI LETTER PHA
इ	8645	0.336	DEVANAGARI LETTER I
ङ	6769	0.263	DEVANAGARI LETTER NGA
०	5275	0.205	DEVANAGARI DIGIT ZERO
१	5173	0.201	DEVANAGARI DIGIT ONE
ठ	4985	0.193	DEVANAGARI LETTER TTHA
ृ	4908	0.19	DEVANAGARI VOWEL SIGN VOCALIC R
ं	4692	0.182	DEVANAGARI SIGN ANUSVARA
२	4614	0.179	DEVANAGARI DIGIT TWO
ौ	4520	0.175	DEVANAGARI VOWEL SIGN AU
घ	3711	0.144	DEVANAGARI LETTER GHA
ञ	2968	0.115	DEVANAGARI LETTER NYA
ढ	2943	0.114	DEVANAGARI LETTER DDHA
९	2747	0.107	DEVANAGARI DIGIT NINE
।	2499	0.097	DEVANAGARI DANDA
झ	2062	0.08	DEVANAGARI LETTER JHA
५	1920	0.075	DEVANAGARI DIGIT FIVE
३	1907	0.074	DEVANAGARI DIGIT THREE
४	1819	0.071	DEVANAGARI DIGIT FOUR
६	1684	0.065	DEVANAGARI DIGIT SIX
८	1680	0.065	DEVANAGARI DIGIT EIGHT
७	1549	0.06	DEVANAGARI DIGIT SEVEN
ओ	732	0.028	DEVANAGARI LETTER O
औ	575	0.022	DEVANAGARI LETTER AU
ऐ	300	0.012	DEVANAGARI LETTER AI
ऊ	227	0.009	DEVANAGARI LETTER UU
ऋ	197	0.008	DEVANAGARI LETTER VOCALIC R
ः	179	0.007	DEVANAGARI SIGN VISARGA
़	27	0.001	DEVANAGARI SIGN NUKTA
ॠ	10	0.0	DEVANAGARI LETTER VOCALIC RR
ऱ	10	0.0	DEVANAGARI LETTER RRA
॰	6	0.0	DEVANAGARI ABBREVIATION SIGN
ॊ	4	0.0	DEVANAGARI VOWEL SIGN SHORT O
ॉ	3	0.0	DEVANAGARI VOWEL SIGN CANDRA O
ॐ	2	0.0	DEVANAGARI OM
॑	1	0.0	DEVANAGARI STRESS SIGN UDATTA
