char	codepoint	name	count	pct_of_nondev
%	U+0025	PERCENT SIGN	12	24.49
?	U+003F	QUESTION MARK	9	18.37
.	U+002E	FULL STOP	8	16.33
‎	U+200E	LEFT-TO-RIGHT MARK	4	8.16
!	U+0021	EXCLAMATION MARK	3	6.12
o	U+006F	LATIN SMALL LETTER O	2	4.08
“	U+201C	LEFT DOUBLE QUOTATION MARK	2	4.08
;	U+003B	SEMICOLON	1	2.04
\	U+005C	REVERSE SOLIDUS	1	2.04
‏	U+200F	RIGHT-TO-LEFT MARK	1	2.04
f	U+0066	LATIN SMALL LETTER F	1	2.04
a	U+0061	LATIN SMALL LETTER A	1	2.04
c	U+0063	LATIN SMALL LETTER C	1	2.04
e	U+0065	LATIN SMALL LETTER E	1	2.04
b	U+0062	LATIN SMALL LETTER B	1	2.04
k	U+006B	LATIN SMALL LETTER K	1	2.04
