rank	utterances	cum_share
1	711	0.004502707324023939
2	663	0.00870143440676356
3	650	0.01281783350748868
4	613	0.016699914505557138
5	576	0.020347677400968937
6	518	0.023628130838162186
7	477	0.02664893448592508
8	465	0.029593743073366898
9	463	0.03252588581742187
10	453	0.035394699344542604
11	442	0.03819385073303569
12	437	0.04096133751306165
13	432	0.0436971596846205
14	430	0.0464203160127925
15	425	0.04911180773249739
16	421	0.05177796776542858
17	416	0.05441246318989266
18	415	0.05704062569266331
19	413	0.05965612235204712
20	413	0.062271619011430926
21	412	0.0648807827491213
22	410	0.06747728064342484
23	409	0.07006744561603495
24	407	0.07264494474525822
25	407	0.07522244387448149
26	407	0.07779994300370476
27	403	0.08035211044615434
28	396	0.08285994743674995
29	396	0.08536778442734555
30	394	0.08786295557455433
31	393	0.09035179380006966
32	393	0.092840632025585
33	391	0.09531680440771349
34	391	0.09779297678984199
35	391	0.1002691491719705
36	391	0.10274532155409899
37	391	0.10522149393622748
38	390	0.10769133339666255
39	388	0.11014850701371078
40	387	0.11259934770906557
41	387	0.11505018840442038
42	386	0.11749469617808175
43	386	0.11993920395174314
44	384	0.12237104588201766
45	384	0.12480288781229221
46	383	0.1272283968208733
47	383	0.1296539058294544
48	382	0.1320730819163421
49	382	0.13449225800322978
50	382	0.13691143409011747
51	381	0.13932427725531174
52	381	0.141737120420506
53	379	0.1441372977423134
54	378	0.1465311421424274
55	377	0.14891865362084797
56	377	0.15130616509926856
57	377	0.15369367657768912
58	377	0.15608118805610968
59	376	0.15846236661283683
60	376	0.16084354516956398
61	376	0.16322472372629113
62	376	0.16560590228301827
63	376	0.16798708083974542
64	376	0.17036825939647257
65	376	0.17274943795319972
66	375	0.17512428358823343
67	374	0.17749279630157372
68	374	0.17986130901491404
69	372	0.18221715588486748
70	372	0.18457300275482094
71	372	0.18692884962477438
72	371	0.18927836357303443
73	370	0.191621544599601
74	370	0.19396472562616762
75	370	0.19630790665273423
76	370	0.19865108767930084
77	369	0.20098793578417404
78	369	0.2033247838890472
79	368	0.20565529907222696
80	368	0.20798581425540674
81	366	0.21030366359519964
82	366	0.21262151293499257
83	366	0.21493936227478547
84	366	0.2172572116145784
85	365	0.21956872803267788
86	365	0.22188024445077736
87	365	0.22419176086887685
88	364	0.22649694436528292
89	364	0.228802127861689
90	364	0.23110731135809506
91	364	0.23341249485450113
92	363	0.23571134542921376
93	362	0.23800386308223298
94	362	0.2402963807352522
95	362	0.24258889838827144
96	361	0.24487508311959721
97	361	0.24716126785092302
98	361	0.24944745258224882
99	360	0.2517273043918812
100	360	0.2540071562015136
101	359	0.2562806750894525
102	358	0.25854786105569805
103	357	0.26080871410025014
104	357	0.26306956714480223
105	357	0.2653304201893544
106	357	0.26759127323390647
107	357	0.26985212627845856
108	356	0.27210664640131726
109	356	0.2743611665241759
110	356	0.2766156866470346
111	355	0.2788638738481999
112	355	0.28111206104936515
113	355	0.28336024825053036
114	355	0.2856084354516956
115	354	0.2878502897311675
116	354	0.2900921440106393
117	354	0.29233399829011114
118	354	0.29457585256958296
119	354	0.2968177068490548
120	354	0.29905956112852666
121	353	0.30129508248630504
122	353	0.3035306038440835
123	352	0.3057597922801685
124	352	0.30798898071625347
125	352	0.3102181691523384
126	352	0.3124473575884234
127	351	0.314670213102815
128	351	0.31689306861720656
129	351	0.3191159241315981
130	350	0.32133244672429623
131	350	0.3235489693169944
132	350	0.32576549190969256
133	350	0.3279820145023907
134	348	0.33018587125170196
135	348	0.33238972800101324
136	348	0.3345935847503246
137	348	0.33679744149963586
138	348	0.33900129824894715
139	348	0.34120515499825843
140	348	0.3434090117475697
141	348	0.34561286849688105
142	347	0.3478103923244989
143	347	0.3500079161521168
144	347	0.35220543997973464
145	345	0.35439029796396565
146	345	0.3565751559481967
147	344	0.3587536810107343
148	344	0.3609322060732719
149	344	0.3631107311358095
150	344	0.3652892561983471
151	343	0.3674614483391913
152	342	0.36962730755834206
153	342	0.3717931667774928
154	342	0.37395902599664355
155	342	0.3761248852157943
156	342	0.37829074443494504
157	342	0.38045660365409584
158	341	0.38261612995155314
159	341	0.3847756562490105
160	341	0.3869351825464678
161	341	0.38909470884392516
162	341	0.39125423514138247
163	340	0.3934074285171464
164	340	0.3955606218929103
165	339	0.3977074823469808
166	339	0.39985434280105125
167	339	0.40200120325512173
168	339	0.40414806370919226
169	339	0.40629492416326274
170	338	0.4084354516956398
171	338	0.41057597922801686
172	338	0.4127165067603939
173	337	0.41485070137107755
174	337	0.4169848959817612
175	337	0.41911909059244484
176	337	0.42125328520312844
177	336	0.4233811468921187
178	336	0.4255090085811089
179	336	0.4276368702700991
180	336	0.4297647319590893
181	336	0.4318925936480795
182	336	0.43402045533706973
183	336	0.43614831702606
184	336	0.4382761787150502
185	335	0.44039770748234697
186	335	0.4425192362496438
187	334	0.44463443209524717
188	334	0.4467496279408505
189	333	0.4488584908647605
190	333	0.4509673537886704
191	333	0.45307621671258036
192	333	0.4551850796364903
193	333	0.45729394256040024
194	333	0.4594028054843102
195	333	0.4615116684082201
196	333	0.4636205313321301
197	332	0.4657230613343466
198	332	0.4678255913365631
199	332	0.46992812133877965
200	331	0.47202431841930276
201	331	0.47412051549982587
202	331	0.4762167125803489
203	331	0.47831290966087203
204	331	0.48040910674139514
205	331	0.48250530382191825
206	330	0.4845951679807479
207	330	0.4866850321395776
208	330	0.48877489629840726
209	330	0.4908647604572369
210	329	0.4929482916943732
211	329	0.49503182293150944
212	329	0.4971153541686457
213	329	0.49919888540578194
214	329	0.5012824166429182
215	328	0.503359614958361
216	328	0.5054368132738039
217	327	0.5075076786675533
218	327	0.5095785440613027
219	327	0.5116494094550521
220	326	0.5137139419271081
221	326	0.515778474399164
222	325	0.5178366739495266
223	325	0.5198948734998892
224	325	0.5219530730502517
225	325	0.5240112726006143
226	325	0.5260694721509769
227	325	0.5281276717013395
228	323	0.5301732054083151
229	323	0.5322187391152908
230	323	0.5342642728222665
231	322	0.5363034736075488
232	322	0.5383426743928311
233	322	0.5403818751781134
234	322	0.5424210759633957
235	322	0.544460276748678
236	320	0.5464868116905734
237	320	0.5485133466324689
238	319	0.5505335486526709
239	319	0.5525537506728729
240	319	0.554573952693075
241	319	0.556594154713277
242	318	0.5586080238117855
243	317	0.5606155599886007
244	317	0.562623096165416
245	317	0.5646306323422311
246	316	0.5666318355973529
247	316	0.5686330388524746
248	316	0.5706342421075964
249	316	0.572635445362718
250	316	0.5746366486178398
251	316	0.5766378518729616
252	316	0.5786390551280833
253	316	0.5806402583832051
254	315	0.5826351287166334
255	315	0.5846299990500617
256	314	0.5866185364617966
257	314	0.5886070738735315
258	314	0.5905956112852665
259	313	0.592577815775308
260	313	0.5945600202653494
261	313	0.5965422247553909
262	312	0.598518096323739
263	312	0.600493967892087
264	311	0.6024635065387417
265	310	0.6044267122637028
266	310	0.606389917988664
267	310	0.6083531237136253
268	310	0.6103163294385865
269	310	0.6122795351635477
270	310	0.6142427408885089
271	309	0.6161996136917767
272	309	0.6181564864950445
273	308	0.6201070263766189
274	307	0.6220512333364998
275	307	0.6239954402963808
276	307	0.6259396472562617
277	306	0.6278775212944492
278	306	0.6298153953326368
279	306	0.6317532693708242
280	305	0.6336848104873183
281	304	0.635610018682119
282	303	0.6375288939552263
283	302	0.6394414363066401
284	302	0.6413539786580539
285	302	0.6432665210094677
286	301	0.6451727304391881
287	301	0.6470789398689085
288	301	0.6489851492986289
289	301	0.6508913587283494
290	301	0.6527975681580698
291	301	0.6547037775877901
292	300	0.6566036540958171
