utterances_per_speaker	n_speakers
13	1
19	1
29	1
39	1
46	1
50	1
52	1
56	1
57	1
62	1
73	1
76	1
81	1
83	1
99	1
104	2
112	1
122	1
124	1
125	1
128	1
138	1
143	1
144	1
148	1
149	1
157	1
159	1
164	1
165	1
166	3
169	1
170	2
171	1
172	2
177	1
180	2
182	1
183	1
184	2
186	1
190	2
191	2
192	1
196	1
198	2
200	1
201	2
203	1
206	1
208	3
210	3
212	2
213	3
216	2
218	1
219	1
220	2
222	2
223	4
224	4
226	1
227	1
228	2
229	1
230	1
232	1
233	1
234	1
235	2
238	3
239	1
240	1
241	2
242	3
243	2
244	1
245	2
246	2
247	1
251	1
252	1
253	1
255	2
256	6
257	1
258	2
259	1
260	3
261	2
262	2
263	2
265	3
267	3
268	1
269	4
270	1
272	3
274	3
275	2
276	2
277	3
278	3
279	2
281	4
282	3
283	3
284	4
285	5
286	1
287	5
288	3
289	5
290	5
291	2
292	5
293	1
294	1
295	2
296	1
297	3
298	4
299	4
300	4
301	6
302	3
303	1
304	1
305	1
306	3
307	3
308	1
309	2
310	6
311	1
312	2
313	3
314	3
315	2
316	8
317	3
318	1
319	4
320	2
322	5
323	3
325	6
326	2
327	3
328	2
329	5
330	4
331	6
332	3
333	8
334	2
335	2
336	8
337	4
338	3
339	5
340	2
341	5
342	6
343	1
344	4
345	2
347	3
348	8
350	4
351	3
352	4
353	2
354	6
355	4
356	3
357	5
358	1
359	1
360	2
361	3
362	3
363	1
364	4
365	3
366	4
368	2
369	2
370	4
371	1
372	3
374	2
375	1
376	7
377	4
378	1
379	1
381	2
382	3
383	2
384	2
386	2
387	2
388	1
390	1
391	5
393	2
394	1
396	2
403	1
407	3
409	1
410	1
412	1
413	2
415	1
416	1
421	1
425	1
430	1
432	1
437	1
442	1
453	1
463	1
465	1
477	1
518	1
576	1
613	1
650	1
663	1
711	1
