phoneme	count	pct
ə	60486	14.553
aː	42099	10.129
ɾ	22919	5.515
k	21405	5.15
ɪ	19424	4.674
n	18602	4.476
m	14423	3.47
l	14253	3.429
eː	14211	3.419
s	13456	3.238
oː	12540	3.017
t	10799	2.598
p	9404	2.263
ʌ	9187	2.21
r	8963	2.157
h	8822	2.123
u	8634	2.077
j	8301	1.997
w	7491	1.802
d	6654	1.601
b	6227	1.498
ɡ	6054	1.457
ʈ	5852	1.408
uː	5143	1.237
ɟ	5056	1.217
ɪː	4743	1.141
i	4165	1.002
ʃ	3644	0.877
c	3450	0.83
ɖ	3095	0.745
bʰ	3074	0.74
kʰ	2580	0.621
dʰ	2441	0.587
cʰ	2349	0.565
ʊ	2062	0.496
ɛː	1999	0.481
ʂ	1961	0.472
tʰ	1919	0.462
ɳ	1910	0.46
ŋ	1845	0.444
iː	1709	0.411
pʰ	1485	0.357
a	1144	0.275
ʈʰ	1090	0.262
dː	846	0.204
ɔː	809	0.195
ã	754	0.181
ɡʰ	683	0.164
ʌ̃	673	0.162
ɖʰ	590	0.142
z	540	0.13
ũ	517	0.124
tː	490	0.118
ɟʰ	485	0.117
ɲ	468	0.113
ĩ	243	0.058
ʋ	235	0.057
ɔ̃	230	0.055
kː	188	0.045
t͡s	139	0.033
pː	106	0.026
cː	103	0.025
ɛ̃	93	0.022
ẽ	79	0.019
mː	62	0.015
ʊː	60	0.014
bː	37	0.009
tʰː	25	0.006
rː	19	0.005
pʰː	13	0.003
əː	12	0.003
o	10	0.002
ɔ	10	0.002
ɛ	8	0.002
ʌː	5	0.001
e	3	0.001
õ	2	0.0
t͡ʃ	1	0.0
q	1	0.0
x	1	0.0
f	1	0.0
ɣ	1	0.0
