dist_bin	n_rows
0.0	0.005	1092
0.005	0.01	3408
0.01	0.015	5838
0.015	0.02	3731
0.02	0.025	7689
0.025	0.03	9612
0.03	0.035	12462
0.035	0.04	9277
0.04	0.045	15464
0.045	0.05	12509
0.05	0.055	15185
0.055	0.06	14533
0.06	0.065	11625
0.065	0.07	13046
0.07	0.075	11069
0.075	0.08	11598
0.08	0.085	9964
0.085	0.09	9746
0.09	0.095	9133
0.095	0.1	7735
0.1	0.105	8157
0.105	0.11	6129
0.11	0.115	5968
0.115	0.12	5000
0.12	0.125	3426
0.125	0.13	4542
0.13	0.135	3091
0.135	0.14	2602
0.14	0.145	1956
0.145	0.15	1715
0.15	0.155	1363
0.155	0.16	1158
0.16	0.165	886
0.165	0.17	701
0.17	0.175	487
0.175	0.18	433
0.18	0.185	285
0.185	0.19	295
0.19	0.195	237
0.195	0.2	207
0.2	0.205	169
0.205	0.21	111
0.21	0.215	89
0.215	0.22	106
0.22	0.225	86
0.225	0.23	76
0.23	0.235	52
0.235	0.24	17
0.24	0.245	15
0.245	0.25	16
