word	rank	similar_word	dist	ipa	freq	n_utts
कल	1	काल	0.0278	kaːl	42	42
कल	2	कोल	0.0278	koːl	3	3
कल	3	कुल	0.0417	kul	189	189
कल	4	कैल	0.0417	kɛːl	6	6
कल	5	कं	0.0417	kʌn	1	1
सात	1	७	0.0	saːt	163	163
सात	2	साथ	0.0139	saːtʰ	322	322
सात	3	सास	0.0278	saːs	14	14
सात	4	सत्	0.0278	sʌt	2	2
सात	5	सेट	0.0417	seːʈ	15	15
यदि	1	यति	0.0104	jʌtɪ	105	105
यदि	2	यदी	0.0104	jʌdi	2	2
यदि	3	यतै	0.0312	jʌtɛː	2	2
यदि	4	यानि	0.0417	jaːnɪ	15	13
यदि	5	योनि	0.0417	joːnɪ	6	6
काल	1	कल	0.0278	kʌl	12	12
काल	2	कोल	0.0278	koːl	3	3
काल	3	कान	0.0417	kaːn	70	68
काल	4	कैल	0.0417	kɛːl	6	6
काल	5	कूल	0.0556	kuːl	10	10
रात	1	रथ	0.0417	ɾʌtʰ	7	7
रात	2	रेट	0.0417	ɾeːʈ	1	1
रात	3	रोट	0.0417	ɾoːʈ	1	1
रात	4	रस	0.0556	ɾʌs	41	41
रात	5	रेड	0.0556	ɾeːɖ	26	26
पानी	1	पनि	0.0312	pʌnɪ	4944	4941
पानी	2	पाली	0.0312	paːli	1	1
पानी	3	पारी	0.0365	paːɾi	30	30
पानी	4	पाटी	0.0417	paːʈi	21	21
पानी	5	पाना	0.0417	paːnaː	4	4
