word	freq	non_devanagari_chars	cleaned_form
‎जसलाई	4	‎	जसलाई
नं.	3	.	नं
२०१२‎	3	‎	२०१२
४३.४	3	.	४३.४
४७%	3	%	४७
५३%	3	%	५३
छ?	2	?	छ
नि?	2	?	नि
बतास;	2	;	बतास
बिरोध?	2	?	बिरोध
हो?	2	?	हो
१०.५	2	.	१०.५
४४%	2	%	४४
४५%	2	%	४५
५५%	2	%	५५
५६%	2	%	५६
\देहरादुनमा	1	\	देहरादुनमा
खान‏	1	‏	खान
गरिन्छ।facebook	1	abcefko	गरिन्छ।
छैन?	1	?	छैन
थियो?	1	?	थियो
देवी!	1	!	देवी
माध्यमहरू‎ले	1	‎	माध्यमहरू‎ले
युधिष्ठिर!	1	!	युधिष्ठिर
वि.सं	1	.	वि.सं
संग्रह‎मा	1	‎	संग्रह‎मा
हजुरबुबा!	1	!	हजुरबुबा
हुन्छ?	1	?	हुन्छ
हुन्न?	1	?	हुन्न
होइन?	1	?	होइन
१००%	1	%	१००
१७.८	1	.	१७.८
२०.७	1	.	२०.७
३८.७	1	.	३८.७
४८%	1	%	४८
४९%	1	%	४९
५०%	1	%	५०
५१%	1	%	५१
५२%	1	%	५२
५७.१	1	.	५७.१
“तर	1	“	तर
“सम्पूर्ण	1	“	सम्पूर्ण
