rank	word	freq	n_utts	n_speakers	cum_share
1	र	6050	6027	525	0.013
2	छ	5995	5979	524	0.0258
3	पनि	4944	4941	526	0.0364
4	हो	4672	4664	523	0.0464
5	यो	4176	4172	524	0.0554
6	एक	3330	3313	521	0.0625
7	थियो	2415	2411	514	0.0677
8	यस	2414	2410	512	0.0729
9	लागि	2345	2345	504	0.0779
10	हुन्छ	2254	2248	506	0.0828
11	भएको	2212	2209	508	0.0875
12	छन्	2176	2172	505	0.0922
13	तथा	2036	2036	503	0.0965
14	रूपमा	1689	1686	492	0.1002
15	आफ्नो	1670	1663	492	0.1037
16	थिए	1621	1619	495	0.1072
17	एउटा	1589	1583	480	0.1106
18	नै	1509	1509	492	0.1139
19	गर्न	1473	1472	490	0.117
20	धेरै	1444	1436	491	0.1201
21	गर्ने	1413	1412	483	0.1231
22	मा	1395	1394	464	0.1261
23	रहेको	1260	1256	465	0.1288
24	भने	1259	1259	462	0.1315
25	यसको	1249	1245	460	0.1342
26	नेपालको	1218	1218	468	0.1368
27	कुनै	1207	1196	452	0.1394
28	उनले	1178	1178	454	0.1419
29	नेपाली	1177	1171	466	0.1445
30	गरे	1139	1137	455	0.1469
31	केही	1076	1061	453	0.1492
32	हुन्	1026	1025	447	0.1514
33	हुने	987	987	428	0.1535
34	वा	983	982	433	0.1556
35	तर	951	951	445	0.1577
36	भयो	935	934	427	0.1597
37	सन्	923	923	403	0.1617
38	उनको	917	916	416	0.1636
39	गरेको	890	890	416	0.1655
40	जिल्लामा	841	841	401	0.1673
41	उनी	836	832	420	0.1691
42	जिल्लाको	799	796	401	0.1708
43	नाम	783	782	404	0.1725
44	सबै	782	779	405	0.1742
45	कारण	765	765	393	0.1758
46	अन्य	763	763	388	0.1775
47	भन्ने	727	727	381	0.179
48	विकास	721	694	362	0.1806
49	त्यो	720	714	362	0.1821
50	दिन	719	715	391	0.1837
