rank	word	freq	n_utts	n_speakers	len_chars	cleaned_form	has_non_devanagari	non_devanagari_chars
1	र	6050	6027	525	1	र	no	
2	छ	5995	5979	524	1	छ	no	
3	पनि	4944	4941	526	3	पनि	no	
4	हो	4672	4664	523	2	हो	no	
5	यो	4176	4172	524	2	यो	no	
6	एक	3330	3313	521	2	एक	no	
7	थियो	2415	2411	514	4	थियो	no	
8	यस	2414	2410	512	2	यस	no	
9	लागि	2345	2345	504	4	लागि	no	
10	हुन्छ	2254	2248	506	5	हुन्छ	no	
11	भएको	2212	2209	508	4	भएको	no	
12	छन्	2176	2172	505	3	छन्	no	
13	तथा	2036	2036	503	3	तथा	no	
14	रूपमा	1689	1686	492	5	रूपमा	no	
15	आफ्नो	1670	1663	492	5	आफ्नो	no	
16	थिए	1621	1619	495	3	थिए	no	
17	एउटा	1589	1583	480	4	एउटा	no	
18	नै	1509	1509	492	2	नै	no	
19	गर्न	1473	1472	490	4	गर्न	no	
20	धेरै	1444	1436	491	4	धेरै	no	
21	गर्ने	1413	1412	483	5	गर्ने	no	
22	मा	1395	1394	464	2	मा	no	
23	रहेको	1260	1256	465	5	रहेको	no	
24	भने	1259	1259	462	3	भने	no	
25	यसको	1249	1245	460	4	यसको	no	
26	नेपालको	1218	1218	468	7	नेपालको	no	
27	कुनै	1207	1196	452	4	कुनै	no	
28	उनले	1178	1178	454	4	उनले	no	
29	नेपाली	1177	1171	466	6	नेपाली	no	
30	गरे	1139	1137	455	3	गरे	no	
31	केही	1076	1061	453	4	केही	no	
32	हुन्	1026	1025	447	4	हुन्	no	
33	हुने	987	987	428	4	हुने	no	
34	वा	983	982	433	2	वा	no	
35	तर	951	951	445	2	तर	no	
36	भयो	935	934	427	3	भयो	no	
37	सन्	923	923	403	3	सन्	no	
38	उनको	917	916	416	4	उनको	no	
39	गरेको	890	890	416	5	गरेको	no	
40	जिल्लामा	841	841	401	8	जिल्लामा	no	
41	उनी	836	832	420	3	उनी	no	
42	जिल्लाको	799	796	401	8	जिल्लाको	no	
43	नाम	783	782	404	3	नाम	no	
44	सबै	782	779	405	3	सबै	no	
45	कारण	765	765	393	4	कारण	no	
46	अन्य	763	763	388	4	अन्य	no	
47	भन्ने	727	727	381	5	भन्ने	no	
48	विकास	721	694	362	5	विकास	no	
49	त्यो	720	714	362	4	त्यो	no	
50	दिन	719	715	391	3	दिन	no	
51	नेपाल	716	714	394	5	नेपाल	no	
52	मात्र	713	712	379	5	मात्र	no	
53	कि	712	712	399	2	कि	no	
54	प्रयोग	699	699	372	6	प्रयोग	no	
55	भनिन्छ	695	695	367	6	भनिन्छ	no	
56	विभिन्न	692	691	388	7	विभिन्न	no	
57	गरी	689	688	371	3	गरी	no	
58	यहाँ	670	670	367	4	यहाँ	no	
59	दुई	667	667	372	3	दुई	no	
60	गरिएको	655	655	375	6	गरिएको	no	
61	काम	647	647	360	3	काम	no	
62	जुन	637	637	350	3	जुन	no	
63	यसलाई	629	629	355	5	यसलाई	no	
64	गरेका	627	627	372	5	गरेका	no	
65	नयाँ	625	617	356	4	नयाँ	no	
66	अनुसार	624	624	333	6	अनुसार	no	
67	जिल्ला	612	593	351	6	जिल्ला	no	
68	गरिन्छ	609	609	372	6	गरिन्छ	no	
69	मेरो	605	601	354	4	मेरो	no	
70	भए	580	580	341	2	भए	no	
71	त	577	576	339	1	त	no	
72	मुख्य	574	572	349	5	मुख्य	no	
73	वर्ष	563	558	327	4	वर्ष	no	
74	पहिलो	559	558	333	5	पहिलो	no	
75	मैले	555	555	343	4	मैले	no	
76	प्रमुख	539	539	318	6	प्रमुख	no	
77	यी	539	539	328	2	यी	no	
78	को	538	537	303	2	को	no	
79	भएका	536	536	328	4	भएका	no	
80	हुन	534	533	336	3	हुन	no	
81	नेपालमा	530	530	319	7	नेपालमा	no	
82	प्राप्त	528	528	321	7	प्राप्त	no	
83	छैन	526	526	329	3	छैन	no	
84	अवस्थित	511	511	311	7	अवस्थित	no	
85	पछि	509	508	324	3	पछि	no	
86	गरेर	508	505	319	4	गरेर	no	
87	गर्दा	504	499	323	5	गर्दा	no	
88	मलाई	504	504	317	4	मलाई	no	
89	कुरा	502	502	322	4	कुरा	no	
90	क्षेत्र	500	498	312	7	क्षेत्र	no	
91	क्षेत्रमा	499	499	315	9	क्षेत्रमा	no	
92	म	490	490	316	1	म	no	
93	उनलाई	475	475	308	5	उनलाई	no	
94	आदि	473	473	310	3	आदि	no	
95	सबैभन्दा	468	468	299	8	सबैभन्दा	no	
96	कार्य	460	460	303	5	कार्य	no	
97	पर्ने	460	460	299	5	पर्ने	no	
98	हुन्छन्	460	456	297	7	हुन्छन्	no	
99	भारतीय	455	455	289	6	भारतीय	no	
100	गर्दै	428	428	293	5	गर्दै	no	
101	पाइन्छ	423	423	291	6	पाइन्छ	no	
102	समय	422	422	295	3	समय	no	
103	राम्रो	417	417	279	6	राम्रो	no	
104	बढी	409	409	283	3	बढी	no	
105	गाउँ	405	401	268	4	गाउँ	no	
106	राज्य	405	402	275	5	राज्य	no	
107	जन्म	400	400	262	4	जन्म	no	
108	राष्ट्रिय	397	397	276	9	राष्ट्रिय	no	
109	देखि	394	394	275	4	देखि	no	
110	के	391	382	267	2	के	no	
111	निर्माण	389	389	269	7	निर्माण	no	
112	सकिन्छ	386	386	273	6	सकिन्छ	no	
113	यस्तो	385	385	270	5	यस्तो	no	
114	त्यस	380	380	258	4	त्यस	no	
115	१	380	372	264	1	१	no	
116	गर्नु	379	379	254	5	गर्नु	no	
117	भन्दा	379	378	272	5	भन्दा	no	
